SMILES,Name,MolWeight
c1ccc(CC(CCNCc2ccc3c(c2)OCO3)c2ccc3c(c2)OCO3)cc1,5555-0363,403.18
O=S1(=O)CCC(S(=O)(=O)NC2CCCCCCCCCCC2)C1,D087-0499,365.17
CC(C)(C)OC(=O)N1CC[C@]2(C[C@@H](C(=O)O)NC2=O)C1,SB73-1000,284.14
Cc1nn(CCc2nn[nH]n2)c(C)c1Br,Y502-0500,270.02
CCOc1cc(-c2ccc(I)o2)cc(=O)c2c(C)oc(C)c12,Y512-9852,410.0
CC1=NN(c2ccccc2)C2(SC(C(=O)c3ccccc3)=NN2c2ccccc2)c2ccccc21,8009-8196,474.15
O=C(CN1CCN(C(=O)CC2CCCC2)CC1=O)N1CCCC1,D762-1103,321.21
COCCN1CN(CN2CN(CCOC)Cn3c2nc2ccccc23)c2nc3ccccc3n2C1,Y020-7299,476.26
CC(C)=CCCC1(C)OC(=O)N(C2CC(C)(C)NC(C)(C)C2)C1(C)O,8011-6570,352.27
CN1c2ccccc2N(C)C1c1ccc(Cl)cc1Cl,0086-0058,292.05
O=C1CSC(NC(=O)CSC2=NCCS2)=N1,8008-7031,274.99
CNc1nc(NC)nc(-n2cnc(SC)n2)n1,D684-0010,252.09
Nc1nonc1-c1noc(C23CC4CC(CC(C4)C2)C3)n1,8011-6572,287.14
O=S(=O)(Nc1cc(F)ccc1F)c1ccc(N2CCCCS2(=O)=O)cc1,G508-0086,402.05
O=C(O)COc1ccc2c(c1)C(=O)c1cc(OCC(=O)O)ccc1-2,0993-0019,328.06
CCCCCCCCOc1nsc(SC)c1C#N,8016-7970,284.1
CN(Cc1nn(C)c(Cl)c1Cl)S(=O)(=O)c1cnn(C)c1,Y504-6817,337.02
CN1C=C(c2ccc3ccccc3n2)C(c2cccc3ccccc23)c2ccccc21,8013-1282,398.18
Nn1cnn2c(SCC(=O)N3CCN(C(=O)CSc4nnc5n(N)cnn45)CC3)nnc12,8006-2504,478.12
CCC12CN3CC(CC)(CN(C1)C3C(C)(C)CO)C2=O,8019-5964,280.22
O=C(O)CCCn1ncn2c(cc3occc32)c1=O,Y700-0211,261.07
Nc1cc(S(=O)(=O)N2CCCC2)sc1Cl,Y700-0719,266.0
Brc1cc(Sc2ccccc2)c2nonc2c1,8020-7545,305.95
C1CCC(N2CCC(N3CCCCCC3)CC2)CC1,Y511-1129,264.26
O=C(O)C1C2C=CC(C2)C1C(=O)NCCCN1CCCC1=O,Y206-6381,306.16
Clc1cc2c(c(COc3ccc4c(c3)OCO4)c1)OCOC2,8018-7044,320.05
FC(F)C1CC(C23CC4CC(CC(C4)C2)C3)Nc2ccnn21,Y501-9715,307.19
CCn1c(I)nc(I)c1C,Y507-4206,361.88
Fc1ccc(F)c(-c2nnc3sc(-c4ccc5nnnn5c4)nn23)c1,8020-2125,356.04
CC1CCN(c2nn3c(=O)c(C(=O)N4CCC5(CC4)OCCO5)cnc3s2)CC1,G205-0283,419.16
